id,text,true_label,predicted_label,correct,method,sentence_sentiments
185,Stop freaking out we always had the answers. What is important is when you got those answers and did you learn it.,neutral,negative,False,unanimous_negative,"['negative', 'neutral']"
186,This is great for AI which get ever smarter ... than humans.,neutral,positive,False,single_sentence,[]
187,another low quality stating the obvious vidoe,neutral,negative,False,single_sentence,[]
188,Whos here in 2026,neutral,neutral,True,single_sentence,[]
189,For 8months I have been using GPT-4 series for myself and also for school projects. It’s human like intelligence created a beautiful understanding which helped me in content creation also. Some useless organisations framing it with manipulation. #keep4o https://t.co/7s7ea04VNm,positive,neutral,False,mixed_aspects,"['neutral', 'positive', 'negative']"
190,"Sounded good, but I did NOT any message from this into my brain. Felt like a bunch of people and English words. I remain confused at end. Sorry this is view.",neutral,neutral,True,mixed_aspects,"['positive', 'neutral', 'neutral', 'negative']"
191,AI will replace teachers in the same way the internet did seems the luddites don't realize the tabloids have been talking about replacing jobs with machines for over a century 😂,positive,negative,False,single_sentence,[]
192,"AI will parrot whatever data you train it on like its the gossible because it doesnt ""know"" any better, because it doesnt know anything. You need a actual brain in the room to teach students.",negative,negative,True,unanimous_negative,"['negative', 'neutral']"
193,For me I can use it once,neutral,neutral,True,single_sentence,[]
194,this is so relevant right now,neutral,positive,False,single_sentence,[]
195,Shout out to the dedicated heroes who impact students every single day. Thanks @JoshJohnson,neutral,positive,False,unanimous_positive,"['positive', 'positive']"
196,"The Felony in the Backpack: Why Your Child Should Never Unlock Their Phone at School (And, yes - It is Illegal for Schools to Rifle Through a Student's Cellphone) I was recently going through my Quora queue and stumbled on a very interesting question asking about parent and student rights regarding confiscated student property. Because of the intersection of innumerable legal issues surrounding property confiscation and criminal law, I felt it appropriate to provide a robust analysis. And, to to",neutral,neutral,True,fallback,"['neutral', 'neutral', 'neutral']"
197,You can also go into File -> Options -> and edit your ribbon tabs there in PowerPoint,neutral,neutral,True,single_sentence,[]
198,"Some features create unnecessary burdens for people. It's frustrating that even when you write well, Turnitin flags it as AI-generated. I checked various tools: Quillbot: OK, Scispace: OK, Turnitin: NOT OK Quillbot: NOT OK, Scispace: OK, Turnitin: NOT OK Quillbot: OK, Scispace: NOT OK, Turnitin: NOT OK Quillbot: NOT OK, Scispace: OK, Turnitin: OK Quillbot: NOT OK, Scispace: NOT OK, Turnitin: OK Quillbot: OK, Scispace: NOT OK, Turnitin: NOT OK So, who can we really trust? It feels like we need to",neutral,negative,False,unanimous_negative,"['negative', 'negative', 'negative', 'neutral']"
199,"Humans will have no knowledge, no intelligence, and no experience. If a kindergartner no longer has to learn to read or do math, which is where we are headed, then they won’t be “2 years ahead.” Future generations will be idiots.",negative,negative,True,unanimous_negative,"['negative', 'neutral', 'negative']"
200,thank you but i tried it and found it not as good as I though it will be,neutral,negative,False,single_sentence,[]
